Date, Close
2/25/22,15.1
2/24/22,15.6
2/23/22,13.72
2/22/22,14.53
2/18/22,14.68
2/17/22,15.48
2/16/22,15.82
2/15/22,16.58
2/14/22,16.54
2/11/22,16.82
2/10/22,14.76
2/9/22,14.27
2/8/22,12.96
2/7/22,13.19
2/4/22,12.9
2/3/22,11.39
2/2/22,11.49
2/1/22,12.2
1/31/22,11.44
1/28/22,10.09
1/27/22,9.51
1/26/22,10.71
1/25/22,10.44
1/24/22,10.89
1/21/22,10.88
1/20/22,11.72
1/19/22,11.79
1/18/22,12.2
1/14/22,12.93
1/13/22,12.98
1/12/22,14.09
1/11/22,14.69
1/10/22,13.71
1/7/22,14.37
1/6/22,14.84
1/5/22,15.38
1/4/22,16.44
1/3/22,17.47
12/31/21,16.7
12/30/21,17.73
12/29/21,17.7
12/28/21,17.07
12/27/21,18.3
12/23/21,17.86
12/22/21,16.82
12/21/21,16.18
12/20/21,15.28
12/17/21,16.77
12/16/21,16.06
12/15/21,17.84
12/14/21,16.1
12/13/21,16.67
12/10/21,18.57
12/9/21,18.61
12/8/21,20.97
12/7/21,21.53
12/6/21,18.79
12/3/21,18.78
12/2/21,21.45
12/1/21,20.75
11/30/21,23.82
11/29/21,24.08
11/26/21,24.18
11/24/21,25.96
11/23/21,24.96
11/22/21,23.18
11/19/21,28.01
11/18/21,27.96
11/17/21,31
11/16/21,26.38
11/15/21,19.82
11/12/21,20.15
11/11/21,19.25
11/10/21,18.23
11/9/21,22.53
11/8/21,21.35
11/5/21,19.27
11/4/21,16.43
11/3/21,15.35
11/2/21,15
11/1/21,15.66
10/29/21,15.04
10/28/21,13.63
10/27/21,12.28
10/26/21,10.52
10/25/21,10.28
10/22/21,9.66
10/21/21,10.18
10/20/21,10.44
10/19/21,10.91
10/18/21,10.69
10/15/21,10.05
10/14/21,9.82
10/13/21,9.24
10/12/21,8.53
10/11/21,8.44
10/8/21,8.41
10/7/21,7.63
10/6/21,7.25
10/5/21,7.73
10/4/21,7.51
10/1/21,9.2
9/30/21,10.4
9/29/21,10.93
9/28/21,11.07
9/27/21,11.94
9/24/21,11.3
9/23/21,10.01
9/22/21,9.99
9/21/21,10.05
9/20/21,10.01
9/17/21,10.06
9/16/21,10.05
9/15/21,10.01
9/14/21,10
9/13/21,10.02
9/10/21,10
9/9/21,10.07
9/8/21,10
9/7/21,10.01
9/3/21,9.98
9/2/21,9.97
9/1/21,9.97
8/31/21,9.99
8/30/21,9.98
8/27/21,9.98
8/26/21,9.96
8/25/21,9.92
8/24/21,9.98
8/23/21,9.96
8/20/21,9.99
8/19/21,10
8/18/21,9.98
8/17/21,10.01
8/16/21,10
8/13/21,10.02
8/12/21,10.01
8/11/21,10
8/10/21,10
8/9/21,10
8/6/21,9.94
8/5/21,9.98
8/4/21,9.96
8/3/21,9.94
8/2/21,9.93
7/30/21,9.92
7/29/21,9.91
7/28/21,9.93
7/27/21,9.93
7/26/21,9.95
7/23/21,9.95
7/22/21,9.96
7/21/21,9.92
7/20/21,9.95
7/19/21,9.95
7/16/21,10.12
7/15/21,10.11
7/14/21,10.13
7/13/21,10.31
7/12/21,10.46
7/9/21,10.5
7/8/21,10.42
7/7/21,10.44
7/6/21,10.53
7/2/21,10.48
7/1/21,10.7
6/30/21,10.69
6/29/21,10.55
6/28/21,10.49
6/25/21,10.39
6/24/21,10.3
6/23/21,10.11
6/22/21,10.1
6/21/21,10.16
6/18/21,10.29
6/17/21,10.31
6/16/21,10.43
6/15/21,10.45
6/14/21,10.52
6/11/21,10.57
6/10/21,10.55
6/9/21,10.6
6/8/21,10.44
6/7/21,10.24
6/4/21,10.1
6/3/21,10.05
6/2/21,10
6/1/21,9.98
5/28/21,9.98
5/27/21,9.93
5/26/21,10
5/25/21,9.97
5/24/21,10
5/21/21,10
5/20/21,9.94
5/19/21,9.91
5/18/21,9.95
5/17/21,10
5/14/21,10.05
5/13/21,10.08
5/12/21,10.02
5/11/21,10.02
5/10/21,10.14
5/7/21,10.21
5/6/21,10.26
5/5/21,10.4
5/4/21,10.63
5/3/21,10.81
4/30/21,10.78
4/29/21,10.66
4/28/21,10.6
4/27/21,10.5
4/26/21,10.54
4/23/21,10.49
4/22/21,10.39
4/21/21,10.48
4/20/21,10.3
4/19/21,10.25
4/16/21,10.37
4/15/21,10.54
4/14/21,10.59
4/13/21,10.75
4/12/21,10.84
4/9/21,11.03
4/8/21,11
4/7/21,10.69
4/6/21,10.78
4/5/21,10.69
4/1/21,10.57
3/31/21,10.77
3/30/21,10.5
3/29/21,10.73
3/26/21,10.52
3/25/21,10.56
3/24/21,10.52
3/23/21,10.63
3/22/21,10.94
3/19/21,11.05
3/18/21,10.81
3/17/21,11
3/16/21,11.02
3/15/21,11.53
3/12/21,11.51
3/11/21,11.2
3/10/21,11.08
3/9/21,11.31
3/8/21,10.9
3/5/21,12.7
3/4/21,11.97
3/3/21,11.87
3/2/21,12.86
3/1/21,14.6
2/26/21,14.47
2/25/21,13.12
2/24/21,14.44
2/23/21,12.14
2/22/21,12.75
2/19/21,12.71
2/18/21,12.24
2/17/21,11.81
2/16/21,11.7
2/12/21,11.8
2/11/21,11.77
2/10/21,11.88
2/9/21,11.99
2/8/21,11.78
2/5/21,11.76
2/4/21,11.99
2/3/21,12
2/2/21,11.9
2/1/21,11.55
1/29/21,11.35
1/28/21,11.37
1/27/21,11.45
1/26/21,11.91
1/25/21,12.09
1/22/21,12
1/21/21,11.5
1/20/21,11.32
1/19/21,11.32
1/15/21,11.22
1/14/21,11.44
1/13/21,11.2
1/12/21,11.18
1/11/21,11.17
